timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date
1750544160000000,101816.3,101839.52,101761.18,101766.2,5.97112,1750544219999999,607876.7130421,2024,2.44007,248392.8712012,0,2025-06-21 22:16:00+00:00
1750544220000000,101766.21,101776.88,101760.0,101766.89,3.38607,1750544279999999,344576.4163457,1162,2.34328,238458.5915025,0,2025-06-21 22:17:00+00:00
1750544280000000,101766.89,101766.9,101727.1,101756.4,7.27406,1750544339999999,740125.097592,1256,2.02435,205957.2652206,0,2025-06-21 22:18:00+00:00
1750544340000000,101756.4,101768.4,101736.84,101758.2,14.11347,1750544399999999,1436013.1098693,1302,2.48425,252777.1660571,0,2025-06-21 22:19:00+00:00
1750544400000000,101758.2,101842.57,101753.71,101830.61,4.11061,1750544459999999,418424.4539191,1669,3.04563,310014.4203193,0,2025-06-21 22:20:00+00:00
1750544460000000,101830.61,101912.26,101830.6,101902.07,6.59864,1750544519999999,672240.1400104,1436,4.18283,426077.8188479,0,2025-06-21 22:21:00+00:00
1750544520000000,101902.07,101949.5,101902.06,101911.69,9.40058,1750544579999999,958173.1839989,1936,6.3121,643383.5076379,0,2025-06-21 22:22:00+00:00
1750544580000000,101911.7,101911.71,101842.56,101882.59,4.05518,1750544639999999,413148.921274,1597,1.71388,174598.3423315,0,2025-06-21 22:23:00+00:00
1750544640000000,101882.59,101937.64,101882.58,101887.4,17.08523,1750544699999999,1741057.211943,2149,14.47616,1475181.0694361,0,2025-06-21 22:24:00+00:00
1750544700000000,101887.4,101940.82,101887.39,101940.81,9.16324,1750544759999999,933793.3346651,2658,6.58223,670751.9008349,0,2025-06-21 22:25:00+00:00
1750544760000000,101940.82,101983.86,101934.17,101983.86,15.40292,1750544819999999,1570340.8322951,2449,10.40436,1060742.9128473,0,2025-06-21 22:26:00+00:00
1750544820000000,101983.86,101983.86,101964.1,101972.7,12.54713,1750544879999999,1279505.7205797,1726,8.9608,913786.908865,0,2025-06-21 22:27:00+00:00
1750544880000000,101972.71,101972.71,101938.8,101966.99,4.85275,1750544939999999,494734.8257717,2111,2.78202,283610.9975136,0,2025-06-21 22:28:00+00:00
1750544940000000,101966.98,101966.98,101883.45,101903.81,12.47489,1750544999999999,1271423.7271616,4191,6.44685,657079.3039756,0,2025-06-21 22:29:00+00:00
